Node	Type
RP11-94C24.13	lncRNA
RP11-474P2.6	lncRNA
LL22NC03-27C5.1	lncRNA
MUC19	lncRNA
AC010524.2	lncRNA
SLC8A1-AS1	lncRNA
C10orf91	lncRNA
LINC01070	lncRNA
CTB-51J22.1	lncRNA
CTC-459F4.1	lncRNA
RP11-717I24.1	lncRNA
C10orf91	lncRNA
LINC01002	lncRNA
MUC19	lncRNA
RP11-830F9.6	lncRNA
RP11-166B2.5	lncRNA
RP3-470B24.5	lncRNA
GS1-251I9.3	lncRNA
C10orf91	lncRNA
RP11-397O4.1	lncRNA
AC137934.1	lncRNA
RP13-507P19.2	lncRNA
RP11-368I7.4	lncRNA
GAS6-AS1	lncRNA
CDR1-AS	lncRNA
RP11-627J17.1	lncRNA
CTC-265F19.1	lncRNA
RP11-458F8.4	lncRNA
RP11-54O7.17	lncRNA
LINC00240	lncRNA
RP11-474P2.6	lncRNA
XX-C2158C6.3	lncRNA
AC137934.1	lncRNA
TCF4-AS2	lncRNA
AC079799.2	lncRNA
FAM95B1	lncRNA
C10orf91	lncRNA
AC011284.3	lncRNA
RP5-1077H22.2	lncRNA
AC011284.3	lncRNA
CTC-265F19.1	lncRNA
LINC01106	lncRNA
RP5-894D12.5	lncRNA
RP3-388N13.3	lncRNA
