miRNA	lncRNA
hsa-miR-338-3p	RP4-539M6.22
hsa-miR-103a-3p	LA16c-306A4.2
hsa-miR-125a-3p	FAM182A
hsa-miR-15b-3p	AC011284.3
hsa-miR-668-3p	MUC19
hsa-miR-185-5p	AATBC
hsa-miR-432-3p	RP11-333E1.2
hsa-miR-640	AC069257.8
hsa-miR-5047	PCDH9-AS2
hsa-miR-449c-5p	RP11-458F8.4
hsa-miR-939-5p	RP11-627G23.1
hsa-miR-765	RP11-627G23.1
hsa-miR-191-3p	AC000035.3
hsa-miR-5787	MUC2
hsa-miR-624-3p	AC011718.2
hsa-miR-766-3p	RP13-507P19.2
hsa-miR-33b-3p	RP13-507P19.2
hsa-miR-515-5p	RP13-507P19.2
hsa-miR-148a-3p	LA16c-306A4.2
hsa-miR-34a-5p	LA16c-306A4.2
hsa-miR-130a-3p	LA16c-306A4.2
hsa-miR-362-5p	RP11-526P6.1
hsa-miR-136-5p	RP11-526P6.1
hsa-miR-139-3p	RP11-13K12.1
hsa-miR-122-5p	MUC2
hsa-miR-150-5p	LINC01002
hsa-miR-188-3p	LINC01002
hsa-miR-134-5p	AP001476.4
hsa-miR-34a-5p	AP001476.4
hsa-miR-1225-3p	LINC01002
hsa-miR-93-3p	RP5-892K4.1
hsa-miR-140-5p	MUC2
hsa-miR-543	RP11-429B14.4
hsa-miR-186-5p	MIR325HG
hsa-miR-650	AIRN
hsa-miR-532-5p	RP11-413M3.4
hsa-miR-7-5p	RP11-338K13.1
hsa-miR-1224-5p	KB-1183D5.13
hsa-miR-20a-3p	LINC01043
hsa-miR-488-3p	RP5-892K4.1
hsa-miR-520a-5p	LINC01123
hsa-miR-28-5p	XXyac-YM21GA2.7
hsa-miR-185-3p	RP11-102K13.5
hsa-miR-188-5p	MMP25-AS1
hsa-miR-1207-5p	C10orf91
hsa-miR-28-5p	CTD-2245F17.9
hsa-miR-130a-5p	LL22NC03-27C5.1
hsa-miR-4482-5p	LINC00917
hsa-miR-188-3p	COL4A2-AS2
hsa-miR-1224-5p	XXyac-YM21GA2.7
hsa-miR-6087	RP5-892K4.1
hsa-miR-625-5p	RP11-394A14.2
hsa-miR-670-5p	MMP25-AS1
hsa-miR-29a-5p	MUC19
hsa-miR-1184	LINC00689
hsa-miR-1972	LINC01002
hsa-miR-1207-5p	RP11-618K13.2
hsa-miR-1972	RP11-1228E12.1
